Component,Name,Start_Time,End_Time,Total_Time,Assembly_Time,Main_Assembly_Time,Transport_Time,Status,Transport_Delay
GraphicsCard,GraphicsCard_0,0,0.0,0.0,0,5,3,Failed: 'graphicscard',8.0
GraphicsCard,GraphicsCard_1,0,0.0,0.0,1,4,3,Failed: 'graphicscard',8.0
GraphicsCard,GraphicsCard_2,0,0.0,0.0,2,3,3,Failed: 'graphicscard',8.0
GraphicsCard,GraphicsCard_3,0,0.0,0.0,3,2,3,Failed: 'graphicscard',8.0
GraphicsCard,GraphicsCard_4,0,0.0,0.0,4,5,3,Failed: 'graphicscard',12.0
GraphicsCard,GraphicsCard_5,0,0.0,0.0,5,2,3,Failed: 'graphicscard',10.0
GraphicsCard,GraphicsCard_6,0,0.0,0.0,6,4,3,Failed: 'graphicscard',13.0
GraphicsCard,GraphicsCard_7,0,0.0,0.0,7,3,3,Failed: 'graphicscard',13.0
GraphicsCard,GraphicsCard_8,0,0.0,0.0,8,5,3,Failed: 'graphicscard',16.0
GraphicsCard,GraphicsCard_9,0,0.0,0.0,9,6,3,Failed: 'graphicscard',18.0
GraphicsCard,GraphicsCard_10,0,0.0,0.0,10,7,3,Failed: 'graphicscard',20.0
GraphicsCard,GraphicsCard_11,0,0.0,0.0,11,5,3,Failed: 'graphicscard',19.0
GraphicsCard,GraphicsCard_12,0,0.0,0.0,12,7,3,Failed: 'graphicscard',22.0
GraphicsCard,GraphicsCard_13,0,0.0,0.0,13,7,3,Failed: 'graphicscard',23.0
GraphicsCard,GraphicsCard_14,0,0.0,0.0,14,5,3,Failed: 'graphicscard',22.0
GraphicsCard,GraphicsCard_15,0,0.0,0.0,15,3,3,Failed: 'graphicscard',21.0
GraphicsCard,GraphicsCard_16,0,0.0,0.0,16,4,3,Failed: 'graphicscard',23.0
GraphicsCard,GraphicsCard_17,0,0.0,0.0,17,3,3,Failed: 'graphicscard',23.0
GraphicsCard,GraphicsCard_18,0,0.0,0.0,18,7,3,Failed: 'graphicscard',28.0
GraphicsCard,GraphicsCard_19,0,0.0,0.0,19,4,3,Failed: 'graphicscard',26.0
GraphicsCard,GraphicsCard_20,0,0.0,0.0,20,6,3,Failed: 'graphicscard',29.0
GraphicsCard,GraphicsCard_21,0,0.0,0.0,21,2,3,Failed: 'graphicscard',26.0
GraphicsCard,GraphicsCard_22,0,0.0,0.0,22,3,3,Failed: 'graphicscard',28.0
GraphicsCard,GraphicsCard_23,0,0.0,0.0,23,3,3,Failed: 'graphicscard',29.0
GraphicsCard,GraphicsCard_24,0,0.0,0.0,24,3,3,Failed: 'graphicscard',30.0
GraphicsCard,GraphicsCard_25,0,0.0,0.0,25,4,3,Failed: 'graphicscard',32.0
GraphicsCard,GraphicsCard_26,0,0.0,0.0,26,3,3,Failed: 'graphicscard',32.0
GraphicsCard,GraphicsCard_27,0,0.0,0.0,27,4,3,Failed: 'graphicscard',34.0
GraphicsCard,GraphicsCard_28,0,0.0,0.0,28,4,3,Failed: 'graphicscard',35.0
GraphicsCard,GraphicsCard_29,0,0.0,0.0,29,3,3,Failed: 'graphicscard',35.0
GraphicsCard,GraphicsCard_30,0,0.0,0.0,30,2,3,Failed: 'graphicscard',35.0
GraphicsCard,GraphicsCard_31,0,0.0,0.0,31,4,3,Failed: 'graphicscard',38.0
GraphicsCard,GraphicsCard_32,0,0.0,0.0,32,2,3,Failed: 'graphicscard',37.0
GraphicsCard,GraphicsCard_33,0,0.0,0.0,33,4,3,Failed: 'graphicscard',40.0
GraphicsCard,GraphicsCard_34,0,0.0,0.0,34,2,3,Failed: 'graphicscard',39.0
GraphicsCard,GraphicsCard_35,0,0.0,0.0,35,5,3,Failed: 'graphicscard',43.0
GraphicsCard,GraphicsCard_36,0,0.0,0.0,36,2,3,Failed: 'graphicscard',41.0
GraphicsCard,GraphicsCard_37,0,0.0,0.0,37,5,3,Failed: 'graphicscard',45.0
GraphicsCard,GraphicsCard_38,0,0.0,0.0,38,4,3,Failed: 'graphicscard',45.0
GraphicsCard,GraphicsCard_39,0,0.0,0.0,39,7,3,Failed: 'graphicscard',49.0
GraphicsCard,GraphicsCard_40,0,0.0,0.0,40,3,3,Failed: 'graphicscard',46.0
GraphicsCard,GraphicsCard_41,0,0.0,0.0,41,4,3,Failed: 'graphicscard',48.0
GraphicsCard,GraphicsCard_42,0,0.0,0.0,42,6,3,Failed: 'graphicscard',51.0
GraphicsCard,GraphicsCard_43,0,0.0,0.0,43,4,3,Failed: 'graphicscard',50.0
GraphicsCard,GraphicsCard_44,0,0.0,0.0,44,4,3,Failed: 'graphicscard',51.0
GraphicsCard,GraphicsCard_45,0,0.0,0.0,45,5,3,Failed: 'graphicscard',53.0
GraphicsCard,GraphicsCard_46,0,0.0,0.0,46,7,3,Failed: 'graphicscard',56.0
GraphicsCard,GraphicsCard_47,0,0.0,0.0,47,6,3,Failed: 'graphicscard',56.0
GraphicsCard,GraphicsCard_48,0,0.0,0.0,48,4,3,Failed: 'graphicscard',55.0
GraphicsCard,GraphicsCard_49,0,0.0,0.0,49,6,3,Failed: 'graphicscard',58.0
PowerSupply,PowerSupply_0,0,0.0,0.0,0,6,4,Failed: 'powersupply',10.0
PowerSupply,PowerSupply_1,0,0.0,0.0,1,4,4,Failed: 'powersupply',9.0
PowerSupply,PowerSupply_2,0,0.0,0.0,2,7,4,Failed: 'powersupply',13.0
PowerSupply,PowerSupply_3,0,0.0,0.0,3,2,4,Failed: 'powersupply',9.0
PowerSupply,PowerSupply_4,0,0.0,0.0,4,4,4,Failed: 'powersupply',12.0
PowerSupply,PowerSupply_5,0,0.0,0.0,5,3,4,Failed: 'powersupply',12.0
PowerSupply,PowerSupply_6,0,0.0,0.0,6,5,4,Failed: 'powersupply',15.0
PowerSupply,PowerSupply_7,0,0.0,0.0,7,7,4,Failed: 'powersupply',18.0
PowerSupply,PowerSupply_8,0,0.0,0.0,8,4,4,Failed: 'powersupply',16.0
PowerSupply,PowerSupply_9,0,0.0,0.0,9,5,4,Failed: 'powersupply',18.0
PowerSupply,PowerSupply_10,0,0.0,0.0,10,3,4,Failed: 'powersupply',17.0
PowerSupply,PowerSupply_11,0,0.0,0.0,11,4,4,Failed: 'powersupply',19.0
PowerSupply,PowerSupply_12,0,0.0,0.0,12,5,4,Failed: 'powersupply',21.0
PowerSupply,PowerSupply_13,0,0.0,0.0,13,3,4,Failed: 'powersupply',20.0
PowerSupply,PowerSupply_14,0,0.0,0.0,14,5,4,Failed: 'powersupply',23.0
PowerSupply,PowerSupply_15,0,0.0,0.0,15,5,4,Failed: 'powersupply',24.0
PowerSupply,PowerSupply_16,0,0.0,0.0,16,7,4,Failed: 'powersupply',27.0
